kode_politikus;politikus;kode_pendidikan;pendidikan
Q96989184;Anas Thahir;Q12523349;Universitas Islam Negeri Syarif Hidayatullah Jakarta
Q96989184;Anas Thahir;Q97608144;MTSN Srono Banyuwangi
Q486470;Anas Urbaningrum;Q1145992;Universitas Gadjah Mada
Q97590763;Anda;Q7894421;Universitas Terbuka
Q97590763;Anda;Q12523435;Universitas Persada Indonesia YAI
Q97590763;Anda;Q74433095;Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
Q25466456;Andar Amin Harahap;Q19751985;Institut Pemerintahan Dalam Negeri
Q96988684;Andi Achmad Dara;Q4200341;Universitas Sumatera Utara
Q60538759;Andi Arief;Q1145992;Universitas Gadjah Mada
Q138078373;Andi Azizah Irma Wahyudiyati Irwan;Q478044;Universitas Hasanuddin
Q138078373;Andi Azizah Irma Wahyudiyati Irwan;Q1336952;Universitas Brawijaya
Q133832443;Andi Gaffar Patappe;Q478044;Universitas Hasanuddin
Q131808527;Andi Hatta Marakarma;Q97570586;APDN Makassar
Q97307382;Andi Ina Kartika Sari;Q478044;Universitas Hasanuddin
Q109564170;Andi Iwan Darmawan Aras;Q478044;Universitas Hasanuddin
